Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Description,Comments,RoHS Status,Lead Free Status,REACH Status
MK20DX256ZVLK10-ND,FREESCALE SEMICONDUCTOR,MK20DX256ZVLK10,U2,1,0,0,IC ARM CORTEX MCU 256KB 80LQFP,,RoHS Compliant,Lead free,Unaffected Dec-2011
445-6382-1-ND,TDK CORPORATION (VA),MLZ1005MR47W,"L1, L2",2,0,0,INDUCTOR MULTILAYER .47UH 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
475-1409-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LG Q971-KN-1,LED3,1,0,0,LED CHIPLED 570NM GREEN 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
475-2512-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LS Q976-NR-1,"LED1, LED2",2,0,0,LED CHIPLED 633NM RED 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
475-2558-1-ND,OSRAM OPTO SEMICONDUCTORS INC(VA),LY Q976-P1S2-36,LED4,1,0,0,LED CHIPLED 587NM YLW 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
535-9808-1-ND,ABRACON CORPORATION (VA),ABS07-32.768KHZ-1-T,X2,1,0,0,CRYSTAL 32.768KHZ 12.5PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2011
311-0.0JRCT-ND,YAGEO (VA),RC0402JR-070RL,"R1, R4, R5",3,0,0,RES 0.0 OHM 1/16W 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
587-1231-1-ND,TAIYO YUDEN (VA),JMK105BJ105KV-F,"C7, C8",2,0,0,CAP CER 1UF 6.3V 10% X5R 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Nov-2009
445-4891-1-ND,TDK CORPORATION (VA),C1005C0G1H080D,"C3, C4",2,0,0,CAP CER 8PF 50V NP0 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Apr-2011
478-6622-1-ND,AVX CORPORATION (VA),CX3225GB16000D0HEQZ1,X1,1,0,0,CRYSTAL 16.000MHZ 8PF SMD,Alternate Packaging Exists,RoHS compliant by exemption,Contains lead,Unaffected Jun-2012
311-1018-1-ND,YAGEO (VA),CC0402JRNPO9BN220,C2,1,0,0,CAP CER 22PF 50V 5% NPO 0402,Minimum / Multiple of 10,RoHS Compliant,Lead free,Unaffected Sep-2011
311-33JRCT-ND,YAGEO (VA),RC0402JR-0733RL,"R6, R7",2,0,0,RES 33 OHM 1/16W 5% 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-1349-1-ND,YAGEO (VA),CC0402KRX7R9BB103,"C5, C6, C9, C10, C11, C12, C13, C14, C15, C16",10,0,0,CAP CER 10000PF 50V 10% X7R 0402,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
712-1538-1-ND,JOHANSON TECHNOLOGY INC (VA),2450FB15L0001E,U3,1,0,0,FILTER BALUN ATMEL 2.45GHZ,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jul-2011
ANT-2.45-CHPCT-ND,LINX TECHNOLOGIES INC (VA),ANT-2.45-CHP-T,A1,1,0,0,ANT 2.4GHZ 802.11 BLUETOOTH SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Oct-2011
AT86RF231-ZU-ND,ATMEL,AT86RF231-ZU,U1,1,0,0,IC TXRX ZIGBE/802.15.4/ISM 32QFN,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
609-3729-ND,FCI,20021121-00010T4LF,J3,1,0,0,CONN HEADER 10POS DL UNSHRD SMD,,RoHS Compliant,Lead free,Unaffected Jun-2011
3M9329-ND,3M,951110-8622-AR,"J1, J2",2,0,0,CONN HEADER 10POS 2MM VERT T/H,,RoHS Compliant,Lead free,Not Available
609-4613-1-ND,FCI (VA),10118192-0001LF,U$2,1,0,0,CONN USB MICRO B RECPT SMT R/A,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2011
